"Item ID","Item Code","Product ID",Status,"Has Images","Parent Visible","Current web_vis","Manual Override","Recommended Action"
953,8715-0000,250,LTDQTY,YES,Y,1,NO,"NO ACTION - Already set to visible"
972,6100-0001,258,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
973,6100-0002,258,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
975,6100-0004,258,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
976,6100-0005,258,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
978,6100-0007,258,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
979,6100-0008,258,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
980,6100-0009,258,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
982,6100-0010,258,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
983,6100-0011,258,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
984,6100-0012,258,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
985,6100-0013,258,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
986,6100-0014,258,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
987,6100-0015,258,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
988,6100-0016,258,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
989,6100-0017,258,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
990,6100-0018,258,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
991,6100-0019,258,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
994,6100-0022,258,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
995,6100-0023,258,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
997,6173-0000,258,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
998,6100-0025,258,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
1023,7560-0000,262,LTDQTY,YES,Y,1,NO,"NO ACTION - Already set to visible"
1025,7528-0000,262,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
1094,4400-0114,277,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
1096,6328-0069,226,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
1097,4400-0134,225,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
1112,8000-1003,37,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
1248,9823-0000,297,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
1251,9876-0000,297,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
1289,4400-0147,304,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
1395,4400-0136,225,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
1420,3629-0000,312,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
1423,7918-0056,317,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
1424,7946-0056,317,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
1425,4400-0113,314,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
1436,3615-0000,312,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
1438,3624-0000,312,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
1439,3625-0000,312,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
1440,3644-0000,312,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
1443,3656-0000,312,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
1444,3658-0000,312,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
1445,3664-0000,312,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
1447,3676-0000,312,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
1450,4825-8280,324,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
1467,5848-0600,333,LTDQTY,YES,Y,1,NO,"NO ACTION - Already set to visible"
1471,1418-0000,320,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
1472,1445-0000,320,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
1473,1446-0086,320,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
1474,1456-0086,320,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
1476,8579-5600,334,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
1477,8582-5600,334,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
